,Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
16,04/18/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1313.0,964.0,1789.0,1489.0,1051.0,2110.0,,,,1393.0,1123.0,1727.0,,,,,,
17,05/16/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",605.0,434.0,842.0,609.0,469.0,791.0,805.0,627.0,1034.0,657.0,501.0,861.0,496.0,368.0,669.0,408.0,312.0,533.0
18,06/11/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1438.0,1060.0,1951.0,1259.0,1102.0,1438.0,1837.0,1293.0,2612.0,,,,,,,,,
19,05/07/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",804.0,585.0,1106.0,899.0,643.0,1257.0,,,,800.0,633.0,1012.0,715.0,537.0,952.0,,,
20,05/01/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",527.0,394.0,704.0,639.0,472.0,864.0,636.0,477.0,848.0,500.0,383.0,651.0,473.0,383.0,583.0,,,
21,04/27/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",510.0,359.0,724.0,489.0,376.0,635.0,592.0,412.0,852.0,561.0,392.0,804.0,480.0,335.0,688.0,381.0,324.0,449.0
22,05/11/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",670.0,509.0,881.0,601.0,509.0,709.0,653.0,551.0,773.0,736.0,557.0,973.0,540.0,424.0,688.0,,,
23,04/25/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",727.0,541.0,976.0,824.0,606.0,1119.0,814.0,621.0,1067.0,727.0,549.0,963.0,571.0,461.0,708.0,,,
24,05/26/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",449.0,325.0,621.0,,,,358.0,288.0,445.0,486.0,346.0,682.0,444.0,327.0,602.0,,,
25,06/21/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",565.0,403.0,793.0,535.0,417.0,688.0,729.0,530.0,1002.0,614.0,460.0,820.0,476.0,339.0,669.0,423.0,317.0,564.0
26,04/10/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",790.0,581.0,1076.0,923.0,694.0,1226.0,815.0,608.0,1090.0,693.0,583.0,823.0,683.0,516.0,903.0,,,
27,05/09/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",750.0,591.0,952.0,836.0,663.0,1055.0,707.0,585.0,853.0,721.0,576.0,901.0,694.0,528.0,913.0,,,
28,04/22/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",685.0,537.0,874.0,877.0,608.0,1264.0,697.0,549.0,884.0,612.0,537.0,698.0,663.0,533.0,826.0,,,
29,05/30/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1112.0,768.0,1608.0,845.0,474.0,1507.0,1387.0,1198.0,1607.0,1191.0,1000.0,1419.0,970.0,793.0,1188.0,,,
30,05/03/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1214.0,990.0,1488.0,1152.0,962.0,1378.0,1364.0,1195.0,1557.0,1187.0,985.0,1432.0,,,,,,
31,06/14/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",831.0,602.0,1148.0,,,,1022.0,774.0,1349.0,811.0,653.0,1008.0,671.0,527.0,855.0,,,
32,06/03/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1220.0,1011.0,1473.0,,,,1246.0,1018.0,1525.0,1195.0,1040.0,1373.0,,,,,,
33,06/26/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",585.0,396.0,865.0,703.0,460.0,1074.0,591.0,460.0,760.0,623.0,402.0,966.0,389.0,325.0,466.0,,,
34,06/28/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",597.0,433.0,822.0,598.0,465.0,770.0,665.0,503.0,879.0,622.0,456.0,848.0,530.0,379.0,741.0,362.0,320.0,408.0
35,05/27/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1066.0,901.0,1262.0,,,,,,,1115.0,977.0,1272.0,,,,,,
36,06/20/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",601.0,428.0,844.0,582.0,436.0,776.0,786.0,600.0,1030.0,629.0,467.0,848.0,573.0,403.0,815.0,418.0,327.0,533.0
37,04/21/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",734.0,541.0,994.0,,,,640.0,524.0,783.0,808.0,589.0,1108.0,,,,,,
38,05/28/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",547.0,391.0,764.0,708.0,522.0,960.0,676.0,507.0,901.0,461.0,362.0,587.0,510.0,361.0,721.0,,,
39,04/21/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1331.0,1094.0,1619.0,,,,,,,1333.0,1058.0,1679.0,,,,,,
40,05/09/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",657.0,374.0,1152.0,632.0,189.0,2111.0,812.0,605.0,1089.0,625.0,494.0,790.0,530.0,417.0,674.0,,,
41,04/13/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1143.0,954.0,1370.0,,,,,,,1213.0,1069.0,1376.0,,,,,,
42,04/12/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1216.0,997.0,1483.0,1220.0,939.0,1586.0,,,,,,,,,,,,
43,06/15/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",770.0,556.0,1066.0,,,,963.0,669.0,1384.0,658.0,535.0,808.0,666.0,523.0,847.0,,,
44,06/02/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",439.0,325.0,593.0,389.0,300.0,504.0,438.0,348.0,551.0,454.0,331.0,622.0,467.0,355.0,613.0,375.0,271.0,520.0
45,06/29/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",754.0,586.0,969.0,,,,776.0,611.0,984.0,751.0,571.0,987.0,750.0,586.0,959.0,,,
46,04/01/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",639.0,467.0,874.0,647.0,482.0,869.0,676.0,462.0,989.0,644.0,483.0,858.0,572.0,450.0,727.0,,,
47,05/02/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1144.0,894.0,1465.0,,,,1357.0,1048.0,1756.0,,,,902.0,860.0,945.0,,,
48,06/10/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1155.0,940.0,1420.0,,,,1303.0,1131.0,1501.0,1204.0,961.0,1509.0,1029.0,856.0,1237.0,,,
49,06/15/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",701.0,524.0,937.0,644.0,554.0,748.0,734.0,523.0,1032.0,787.0,634.0,978.0,579.0,442.0,758.0,,,
50,06/17/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1106.0,867.0,1411.0,,,,1269.0,1191.0,1353.0,1205.0,959.0,1514.0,873.0,721.0,1058.0,,,
51,04/01/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1391.0,1097.0,1763.0,1483.0,1344.0,1637.0,,,,,,,,,,,,
52,04/09/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",600.0,458.0,785.0,523.0,450.0,607.0,687.0,496.0,952.0,587.0,476.0,725.0,571.0,432.0,753.0,,,
53,06/07/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1210.0,980.0,1493.0,1182.0,931.0,1502.0,,,,1163.0,1022.0,1323.0,,,,,,
54,06/09/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",640.0,493.0,831.0,579.0,494.0,679.0,732.0,558.0,960.0,621.0,499.0,772.0,639.0,440.0,927.0,,,
55,04/01/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",876.0,605.0,1268.0,963.0,707.0,1311.0,1056.0,704.0,1583.0,713.0,531.0,957.0,656.0,575.0,747.0,,,
56,05/10/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",619.0,432.0,886.0,564.0,417.0,763.0,820.0,589.0,1143.0,630.0,473.0,840.0,557.0,386.0,802.0,441.0,340.0,572.0
57,06/15/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",463.0,337.0,637.0,340.0,287.0,402.0,545.0,379.0,783.0,440.0,344.0,563.0,369.0,284.0,478.0,,,
58,05/13/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1662.0,1032.0,2677.0,1444.0,1090.0,1911.0,,,,,,,,,,,,
59,05/31/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",766.0,581.0,1010.0,844.0,602.0,1183.0,942.0,836.0,1062.0,773.0,620.0,964.0,624.0,511.0,762.0,,,
60,05/26/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",792.0,556.0,1130.0,,,,847.0,625.0,1150.0,810.0,555.0,1181.0,789.0,547.0,1137.0,,,
61,05/03/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1209.0,966.0,1513.0,,,,1353.0,1083.0,1691.0,1196.0,999.0,1432.0,,,,,,
62,04/13/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",455.0,334.0,619.0,370.0,317.0,432.0,439.0,337.0,570.0,544.0,397.0,747.0,362.0,291.0,452.0,,,
63,05/26/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",,,,,,,,,,,,,,,,,,
64,06/18/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1425.0,1159.0,1751.0,1404.0,1175.0,1677.0,,,,,,,,,,,,
65,05/01/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",726.0,521.0,1012.0,694.0,537.0,897.0,703.0,523.0,943.0,794.0,575.0,1096.0,720.0,480.0,1082.0,,,
66,05/19/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1108.0,842.0,1459.0,,,,,,,,,,,,,,,
67,06/17/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",819.0,604.0,1109.0,946.0,724.0,1236.0,894.0,679.0,1176.0,759.0,658.0,876.0,601.0,473.0,763.0,,,
68,04/19/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",755.0,576.0,991.0,,,,831.0,689.0,1003.0,813.0,615.0,1074.0,662.0,508.0,861.0,,,
69,04/15/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",704.0,552.0,897.0,732.0,578.0,926.0,753.0,574.0,988.0,692.0,559.0,858.0,702.0,552.0,892.0,,,
70,04/10/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",560.0,393.0,800.0,753.0,536.0,1058.0,708.0,487.0,1029.0,523.0,409.0,670.0,472.0,339.0,657.0,386.0,343.0,436.0
71,05/17/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",574.0,409.0,805.0,522.0,405.0,672.0,681.0,506.0,917.0,628.0,462.0,854.0,490.0,359.0,670.0,452.0,307.0,666.0
72,06/12/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",672.0,505.0,894.0,758.0,558.0,1028.0,718.0,597.0,865.0,680.0,512.0,901.0,546.0,423.0,706.0,,,
73,05/21/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",716.0,575.0,892.0,742.0,573.0,960.0,722.0,642.0,811.0,680.0,593.0,781.0,697.0,482.0,1007.0,,,
74,04/05/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",761.0,578.0,1002.0,814.0,608.0,1091.0,803.0,620.0,1040.0,750.0,616.0,912.0,671.0,502.0,897.0,,,
75,06/04/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",653.0,482.0,883.0,579.0,458.0,731.0,741.0,576.0,953.0,690.0,524.0,910.0,561.0,412.0,764.0,,,
76,04/01/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",578.0,385.0,870.0,751.0,592.0,952.0,909.0,535.0,1542.0,496.0,384.0,639.0,415.0,338.0,510.0,379.0,309.0,466.0
77,06/19/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",587.0,420.0,821.0,545.0,411.0,723.0,747.0,603.0,925.0,641.0,473.0,868.0,508.0,370.0,698.0,425.0,319.0,565.0
78,06/29/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",475.0,348.0,649.0,457.0,348.0,601.0,532.0,375.0,755.0,449.0,338.0,597.0,470.0,363.0,609.0,353.0,301.0,413.0
79,04/10/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",559.0,424.0,737.0,498.0,424.0,584.0,569.0,462.0,700.0,582.0,439.0,772.0,558.0,396.0,786.0,,,
80,05/14/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",603.0,415.0,877.0,612.0,464.0,805.0,865.0,628.0,1193.0,600.0,425.0,848.0,483.0,351.0,664.0,409.0,316.0,528.0
81,04/09/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1354.0,1030.0,1779.0,1379.0,1106.0,1719.0,,,,,,,,,,,,
82,05/24/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",562.0,407.0,776.0,587.0,411.0,839.0,597.0,458.0,777.0,558.0,418.0,743.0,577.0,391.0,852.0,469.0,343.0,641.0
83,05/15/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1188.0,915.0,1543.0,1259.0,935.0,1694.0,,,,,,,,,,,,
84,06/20/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",856.0,616.0,1189.0,1187.0,709.0,1985.0,971.0,767.0,1229.0,722.0,601.0,868.0,687.0,566.0,833.0,,,
85,05/21/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",608.0,449.0,822.0,583.0,411.0,826.0,692.0,521.0,919.0,584.0,496.0,687.0,547.0,416.0,721.0,,,
86,06/17/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",545.0,400.0,743.0,634.0,463.0,868.0,599.0,466.0,771.0,522.0,391.0,698.0,412.0,311.0,546.0,403.0,316.0,515.0
87,06/03/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1302.0,904.0,1873.0,1483.0,1058.0,2080.0,,,,,,,,,,,,
88,04/16/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",654.0,485.0,882.0,628.0,493.0,800.0,747.0,583.0,957.0,716.0,572.0,896.0,515.0,402.0,660.0,,,
89,04/29/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1085.0,896.0,1313.0,,,,1168.0,986.0,1383.0,,,,,,,,,
90,06/19/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",773.0,591.0,1013.0,909.0,647.0,1277.0,885.0,678.0,1153.0,737.0,602.0,901.0,659.0,537.0,809.0,,,
91,05/29/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",640.0,464.0,882.0,547.0,456.0,655.0,786.0,551.0,1123.0,570.0,449.0,722.0,522.0,414.0,658.0,,,
92,05/18/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1206.0,926.0,1569.0,,,,,,,,,,1176.0,973.0,1422.0,,,
93,04/05/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",675.0,507.0,899.0,637.0,506.0,802.0,781.0,562.0,1086.0,685.0,549.0,853.0,563.0,449.0,705.0,,,
94,04/19/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",562.0,386.0,820.0,519.0,407.0,661.0,806.0,584.0,1112.0,585.0,411.0,832.0,465.0,327.0,663.0,462.0,339.0,627.0
95,05/17/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1237.0,983.0,1558.0,,,,,,,,,,,,,,,
96,04/23/2019,3603,"Embarcadero, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",579.0,404.0,829.0,563.0,433.0,732.0,899.0,654.0,1237.0,566.0,416.0,770.0,477.0,360.0,633.0,401.0,315.0,510.0
97,06/23/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1238.0,958.0,1599.0,,,,,,,,,,1262.0,934.0,1706.0,,,
98,05/14/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",733.0,566.0,950.0,840.0,648.0,1090.0,757.0,633.0,904.0,695.0,591.0,818.0,620.0,542.0,709.0,,,
99,04/04/2019,3603,"Embarcadero, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1047.0,891.0,1230.0,,,,,,,1094.0,968.0,1237.0,956.0,828.0,1103.0,,,
100,06/13/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",646.0,466.0,895.0,596.0,468.0,760.0,750.0,508.0,1108.0,648.0,488.0,860.0,618.0,431.0,886.0,,,
101,05/27/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",755.0,550.0,1036.0,,,,705.0,556.0,894.0,841.0,578.0,1223.0,663.0,523.0,839.0,,,
102,04/21/2019,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",1151.0,938.0,1412.0,,,,,,,,,,,,,,,
103,04/09/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",758.0,567.0,1014.0,867.0,595.0,1264.0,768.0,656.0,899.0,667.0,572.0,779.0,625.0,520.0,751.0,,,
104,05/03/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",549.0,382.0,788.0,662.0,453.0,967.0,582.0,407.0,834.0,508.0,381.0,677.0,529.0,349.0,800.0,433.0,309.0,608.0
105,05/02/2019,3603,"Embarcadero, San Francisco, CA",3394,"Fisherman's Wharf, San Francisco, CA",683.0,508.0,917.0,709.0,624.0,806.0,802.0,596.0,1080.0,660.0,526.0,830.0,516.0,395.0,674.0,,,
106,04/02/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",562.0,396.0,796.0,783.0,571.0,1075.0,543.0,394.0,747.0,539.0,385.0,756.0,498.0,380.0,653.0,,,
107,05/06/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",546.0,387.0,771.0,780.0,522.0,1166.0,556.0,406.0,762.0,527.0,398.0,698.0,403.0,294.0,553.0,,,
108,06/12/2019,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",591.0,415.0,842.0,980.0,816.0,1176.0,672.0,509.0,886.0,517.0,395.0,675.0,489.0,347.0,690.0,,,
109,04/11/2019,3394,"Fisherman's Wharf, San Francisco, CA",3603,"Embarcadero, San Francisco, CA",735.0,543.0,995.0,802.0,543.0,1184.0,921.0,728.0,1166.0,672.0,561.0,805.0,624.0,519.0,751.0,521.0,421.0,646.0
